#	Name	VirtualSize	VirtualAddress	SizeOfRawData	PointerToRawData	PointerToRelocations	PointerToLinenumbers	NumberOfRelocations	NumberOfLinenumbers	Characteristics
0	.text	0073c62c	00001000	00000000	00000000	00000000	00000000	0000	0000	60000020
1	.rdata	001290f6	0073e000	00000000	00000000	00000000	00000000	0000	0000	40000040
2	.data	01e0509c	00868000	00000000	00000000	00000000	00000000	0000	0000	c0000040
3	.~k]	00851cda	0266e000	00000000	00000000	00000000	00000000	0000	0000	60000020
4	.?}Z	00000dc4	02ec0000	00000e00	00000400	00000000	00000000	0000	0000	c0000040
5	.797	0105dd90	02ec1000	0105de00	00001200	00000000	00000000	0000	0000	60000020
6	.rsrc	000272bc	03f1f000	00027400	0105f000	00000000	00000000	0000	0000	40000040
7	.reloc	00000798	03f47000	00000800	01086400	00000000	00000000	0000	0000	42000040
